frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,vel_y,attacking_goal_x,shot_score,game_minute,game_second,ball_path
6161,1,Manchester City,28.0986196427,-1.20536486485,17.391740210853097,27.803346288560373,15.18759127700001,-8.474060347,52.5,114.76204734282587,9,31,"[[28.9302479008, -2.6376370471], [30.3631699885, -3.47530842174], [31.8281508954, -4.32753478147], [33.1168195142, -5.0768641035], [34.1897094322, -5.97222408575], [35.1935818523, -6.78557292778], [36.143571055, -7.50806498594], [37.0536134104, -8.14653683094], [37.9151155983, -8.69795684496], [38.7280776187, -9.16232502802], [39.4673731496, -9.66500502105], [40.0001134828, -9.90660122102], [40.3742113418, -10.0419225131], [40.6829908949, -10.0350378208], [41.0789971284, -10.0210287359], [41.5481565803, -10.045993266]]"
10684,1,Liverpool Football Club,-10.3559280577,-28.815175556,12.454645201635001,35.54834660792074,-10.617341197000005,6.510779753999998,-52.5,97.82157261609575,17,3,"[[-11.874114034, -27.7028409573], [-13.3166959658, -26.7495364897], [-15.1440105678, -25.8995892884], [-17.0616923571, -25.2450788629], [-18.936234367, -24.4284943696], [-20.8722414188, -23.5729253877], [-22.8697135124, -22.6783719171], [-24.3247121259, -21.2667908714], [-25.9468067685, -19.9180300123], [-27.4295313173, -18.6349422307], [-29.0617837784, -16.9583121412], [-30.7943517492, -15.0082889415], [-32.5409212035, -12.9495046554], [-34.194171606, -10.9319256555], [-35.6752474592, -9.10111977966], [-37.0175145078, -7.40101668997]]"
10781,1,Manchester City,10.4698406855,2.0237734999,17.205546987745247,31.395958700630207,16.366474854999993,-5.3074803785,52.5,117.42369363935644,17,13,"[[11.8055006378, 1.48472251968], [13.3852366132, 0.970937531654], [15.0551038075, 0.555521720301], [16.5140535802, 0.0590896104563], [17.8494848776, -0.478653050887], [19.0943829081, -0.884327135171], [20.2127968009, -1.32007163193], [21.2521521015, -1.7679645532], [22.194292478, -2.22507394938], [23.0392179305, -2.69139982046], [23.7320841498, -2.74294227492], [24.481668813, -2.79675562858], [25.1862966317, -3.02083305743], [25.9385971013, -3.20781635163], [26.6103794519, -3.35196146417], [27.1877857903, -3.67794605366]]"
17834,1,Manchester City,49.7677298046,-11.8480271839,12.147938397274787,32.62959751697439,7.728511074000011,9.372434256000002,52.5,93.36928950334833,28,58,"[[50.9503845735, -10.6991432808], [51.9401337234, -9.3522203336], [52.9552931055, -7.87876657305], [53.8650891671, -6.52713223978], [54.6677858385, -5.31954429897], [55.3962143647, -4.20022430204], [56.0503747458, -3.16917224898], [56.6102031881, -2.20457955211], [56.9938770988, -1.42975072286], [57.3838631244, -0.681255747493], [57.7419234384, -0.00623645851186], [58.0560418152, 0.589532665407], [58.3262182547, 1.10605162426]]"
41671,2,Manchester City,-34.7980653806,-3.76014642654,14.062959966557791,26.18034187922107,-13.103089188999988,5.106456376599997,-52.5,96.49514171201004,52,49,"[[-36.0595348839, -3.05795630327], [-37.52962205, -2.52120548932], [-38.9440065925, -2.18603450534], [-40.5074763243, -1.51467553571], [-42.0282118758, -0.682719977851], [-43.6151255785, 0.464546503685], [-45.0914549167, 1.58935333886], [-46.3837091073, 2.3825017532], [-47.5319623329, 2.9753087036], [-48.5362145932, 3.36777419008], [-49.6444257979, 3.93756286755], [-50.6721609924, 4.38015200571], [-51.6517867022, 4.75501947948], [-52.6005245049, 5.0934344378], [-53.5092395508, 5.38016086442], [-54.3779318397, 5.61519875932]]"
42152,2,Manchester City,-46.3595462981,2.86508972304,19.32714250939172,19.906336694385153,-16.06762435600004,-10.741037432800002,-52.5,116.54204924134376,53,37,"[[-44.3708105656, 2.91587047151], [-45.9052642018, 1.78186795401], [-47.3642212228, 0.918099712249], [-48.7833707376, 0.188676796838], [-50.1627127461, -0.406400792225]]"
42807,2,Liverpool Football Club,35.4620365054,2.34539726018,14.918411452933844,21.22236855315289,12.062858665999983,8.777610214809998,52.5,95.81442581782211,54,42,"[[36.9966461325, 1.33724130348], [38.5354844781, 2.17068278753], [40.4068753028, 2.95980473415], [43.8670974793, 3.8989784241], [45.626118982, 4.33874530913], [47.3384929329, 4.78720176002], [48.7347605586, 5.11252716909], [49.7874594907, 5.27341950672], [50.7488372431, 5.69034367244], [50.6948109607, 4.85755477209], [50.2900331127, 3.69715896992], [49.3760252367, 1.99175824724], [47.9527873326, -0.258647395928], [48.025588874, 0.0507769567729], [48.235081238, 0.589308003424]]"
46996,2,Manchester City,-28.9871955145,-24.8187278566,19.512575449780634,14.34121193025865,-14.136000568,13.450430796999981,-52.5,111.90408917916182,61,41,"[[-28.4544724662, -25.1862705451], [-29.6948739039, -23.8335907333], [-30.8838111055, -22.4316109097], [-32.0043387255, -20.9839361743], [-33.0564567639, -19.4905665272], [-33.9667074606, -18.2462533754], [-34.7853453173, -16.9899406031], [-35.512962087, -15.8019105533], [-36.2745788046, -14.486580674], [-36.961925702, -13.245235022], [-37.6266880868, -11.9868406635], [-38.2247249681, -10.7672608283], [-38.7480690646, -9.63312786249], [-39.2069214675, -8.55409333623], [-39.6012821769, -7.53015724955], [-39.7332207936, -6.90540089906]]"
49629,2,Manchester City,-28.9325034732,-33.9699350993,15.855346310595737,46.05867781373712,-7.773109862999981,13.819217404999975,-52.5,125.33540936671581,66,5,"[[-29.916685534, -32.3108230048], [-31.001967528, -30.3973112953], [-31.5720206689, -28.6261591598], [-32.0828630746, -27.0290224433], [-31.9800529069, -26.3737726378], [-32.0956945006, -25.427135162], [-32.1232390108, -24.6315860985], [-32.152678958, -23.8840846463], [-32.2894403475, -23.0758833169], [-32.3225905889, -22.508752951], [-32.3237921928, -22.0695538596], [-32.2930451592, -21.7582860428], [-32.2590486045, -21.5967896666], [-32.1605441936, -21.5627589481], [-32.1716322094, -21.3610182032], [-32.1224405783, -21.2594384304]]"
53255,2,Manchester City,-35.9124635969,-20.4136056446,13.974791422121108,32.03265121913103,-6.349883767000009,12.448846188999987,-52.5,101.90660832973657,72,7,"[[-36.7446264015, -18.8723262783], [-37.233408389, -17.3105448619], [-37.6819538502, -15.4900003732], [-38.1986975089, -13.6352845325], [-38.7231126028, -11.6803276355], [-39.255199132, -9.6251296821], [-39.746289786, -7.79737480425], [-40.1430122449, -6.01062441123], [-40.4553479632, -4.36241865305], [-40.7480875037, -2.75370621235], [-40.9829385369, -1.27273313775], [-41.2134650053, 0.1346005998], [-41.4059931494, 1.43347326219], [-41.5326747205, 2.60131694125], [-41.6127070843, 3.65832078463], [-41.6460902409, 4.60448479236]]"
