frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,vel_y,attacking_goal_x,threat_score,outcome,game_minute,game_second,ball_path
6172,1,Manchester City,39.2997974214,-10.8367810022,5.849623803784266,17.34966116494105,5.327403332000031,-2.4159619997000092,52.5,46.59778018386238,Blocked Shot,9,32,"[[40.0001134828, -9.90660122102], [40.3742113418, -10.0419225131], [40.6829908949, -10.0350378208], [41.0789971284, -10.0210287359], [41.5481565803, -10.045993266], [42.0990251925, -9.96734888432], [42.4187798308, -9.90949135643], [42.630400259, -9.84640645897], [42.7338864771, -9.77809419193], [42.3098904769, -9.74684126772], [41.8322667882, -9.68299047824], [41.3798498621, -9.52876725941], [40.8734333293, -9.44624623043], [40.3725444466, -9.51311400726], [40.0289128968, -9.44382121545], [39.6377448585, -9.5065972836], [39.2964792199, -9.56222386266], [38.9998395471, -9.62308209754], [38.7478258402, -9.68917198824], [38.5006286751, -9.68606906024], [38.5321091611, -9.49130417485], [38.8035111333, -9.17608345417], [39.2792874691, -8.77447798476], [39.643836745, -8.44017104148], [40.0864036156, -8.16000606588], [40.317495356, -8.12524062536], [40.6212358111, -8.15799783578], [40.9352166144, -8.30517994883], [41.2594377657, -8.56678696451], [40.8938934846, -8.96414667298], [40.7752196036, -9.39955104147]]"
11433,1,Liverpool Football Club,-43.050672055,-1.85466704495,23.72074643332004,37.583241275163594,16.38732249100002,-17.150203291209998,-52.5,156.1869734417638,Blocked Shot,18,18,"[[-41.8742140529, -2.46823971793], [-40.2271391267, -4.30584155276], [-38.7726264228, -5.90731580646], [-37.2590879851, -7.56227047408], [-35.8491305207, -9.13248269738], [-34.6473795389, -10.4119425684], [-33.6043789228, -11.4827926624], [-32.7201286722, -12.3450329795], [-32.1553690222, -12.7588631518], [-31.7649402142, -12.8648890745], [-31.5566205979, -12.7141061706], [-31.3684675615, -12.4013154538], [-31.2846833275, -11.9277568985], [-31.4525238388, -11.4317467639], [-31.8096677744, -11.01401134], [-32.4299967058, -10.5527779853], [-33.3093360811, -10.0679283869], [-34.4476859004, -9.55946254472], [-35.0249271962, -9.26741405525], [-35.7619048293, -9.01717477592], [-36.5616891745, -8.6391196375], [-37.2311248671, -8.51834468092], [-37.8720200339, -8.47157186066], [-38.383420609, -8.5987100759], [-38.9664725919, -8.60677064266], [-39.3661282739, -8.77830754945], [-39.6917537973, -9.00181921119], [-39.9433491621, -9.27730562788], [-39.9509422529, -9.52355281149], [-39.951633852, -9.78921942208], [-40.12276178, -9.8281339561]]"
11767,1,Liverpool Football Club,-35.1750682649,7.33655014492,8.995725858749925,3.082714293432893,-1.5533288689999836,-8.860601173200005,-52.5,38.44907486974601,Blocked Shot,18,51,"[[-35.5199629307, 6.66236039924], [-35.661192352, 5.85762985794], [-35.7959374932, 5.09341116265], [-35.9241983544, 4.36970431336], [-36.0840349235, 3.83584071266], [-36.0998763325, 3.24930650488], [-36.2591422936, 2.7371806695], [-36.7636262944, 2.30571396983], [-37.4971754717, 1.94195498616], [-38.4597898256, 1.64590371848], [-44.8547869939, 8.5069497203], [-44.0614961075, 8.96767970737], [-43.4479005222, 9.38743501033], [-43.178487991, 9.82272258899], [-43.1939457408, 10.3472026865], [-43.3980556995, 10.7889602029], [-43.4992353079, 10.8194232998]]"
14381,1,Manchester City,41.8775536673,15.073124545,9.381544829322252,15.140251546549585,3.3921146516363616,-8.746824656681817,52.5,62.04797569316084,Blocked Shot,23,13,"[[41.3448938655, 15.4856447688], [41.3118041598, 15.1316932873], [41.2533892066, 14.5985989407], [41.2166304912, 14.0663461528], [41.1776190914, 13.5848653453], [41.2126302962, 13.2488227284], [41.2094379949, 12.8842295938], [41.2146498786, 12.4938589218], [41.2212773877, 12.0969314272], [41.2293205224, 11.6934471098], [41.3397769456, 11.3258417355], [41.5076168384, 11.0739948917], [41.7404023975, 10.9039217882], [42.0381336229, 10.8156224249], [43.9879361109, 9.91287557744], [44.3706048671, 9.93898930534], [44.7227882334, 9.96131329181], [45.0281395097, 10.0015946078], [45.3056537162, 10.0205658993], [45.5939749606, 10.0485804583], [45.8931276633, 9.96036220526], [46.2355901289, 9.88631448065], [46.6110006456, 9.79106446029], [47.0193592132, 9.67461214419], [47.3343212677, 9.70086267812]]"
17834,1,Manchester City,49.7677298046,-11.8480271839,12.147938397274787,32.62959751697439,7.728511074000011,9.372434256000002,52.5,93.36928950334833,Shot,28,58,"[[50.9503845735, -10.6991432808], [51.9401337234, -9.3522203336], [52.9552931055, -7.87876657305], [53.8650891671, -6.52713223978], [54.6677858385, -5.31954429897], [55.3962143647, -4.20022430204], [56.0503747458, -3.16917224898], [56.6102031881, -2.20457955211], [56.9938770988, -1.42975072286], [57.3838631244, -0.681255747493], [57.7419234384, -0.00623645851186], [58.0560418152, 0.589532665407], [58.3262182547, 1.10605162426], [57.634064303, 2.9857062516], [57.4898619153, 3.3404062958], [57.3215957059, 3.70670662521], [57.2363126753, 4.16017558462], [57.1248648149, 4.63572919002], [57.0589124668, 5.18772020097], [57.0191255806, 5.74700672265], [56.9611158871, 6.2056940244], [56.9023320445, 6.61257073597], [56.8427740527, 6.96763685734], [56.8706456665, 7.39730799708], [56.8328092342, 7.74437958562], [56.7856745223, 8.06199558828]]"
18479,1,Liverpool Football Club,-46.5497794378,-14.6466852824,5.614977582846173,3.0519653555728787,5.020369902999988,2.5147284730000052,-52.5,31.126853269803743,Blocked Shot,30,3,"[[-45.9617885851, -13.7099635902], [-45.3613585716, -13.4649872177], [-45.0993514068, -13.272065412], [-44.79460413, -13.064353575], [-44.5540813588, -12.9655407619], [-44.4433424706, -12.6132573599], [-44.2125856998, -11.8597176263], [-43.2475505092, -11.372655044], [-41.6681031838, -11.1485729068], [-40.0964560101, -11.0858679492], [-38.245294443, -11.2486814927], [-36.1146184823, -11.6370135373], [-35.9406723355, -11.1940209614], [-35.2708857132, -11.1492200222], [-34.6977532988, -11.0737228368], [-34.0274907515, -11.0755073242], [-33.3420346752, -11.0254584158], [-32.5760448267, -11.0856192453], [-31.7707500066, -11.1655810681], [-30.9319206423, -11.2734505807], [-30.0586209673, -11.4059490862], [-29.1508509817, -11.5630765848], [-28.283586981, -11.6202616985], [-27.3323816285, -11.8329161029], [-26.3550089411, -12.1156977592], [-25.3814091238, -12.4706665761], [-24.4554500795, -12.8033205469], [-23.5759566054, -13.1521320149], [-22.7256596503, -13.4216872645], [-21.8748368285, -13.6799087855], [-21.0270707599, -13.9276619276]]"
25875,1,Liverpool Football Club,-31.9403188796,10.91480791,13.524071855383909,39.566360090310305,8.455432140000028,-10.554912925999993,-52.5,32.60550472616684,Blocked Shot,42,22,"[[-31.2642692942, 12.0343797163], [-30.1819940922, 10.3946016595], [-29.0691470557, 8.58791577561], [-28.435774362, 8.03420149154], [-28.0706542164, 8.16006887642], [-27.9737866188, 8.96551793025], [-27.7379545615, 8.87436911415], [-27.5248601545, 8.82219715433], [-27.2127882883, 8.39817139738], [-26.9329162516, 8.12525603573], [-26.653044215, 7.85234067408], [-26.3731721783, 7.57942531243], [-26.0933001416, 7.30650995078], [-25.8134281049, 7.03359458913], [-25.5335560682, 6.76067922749], [-25.2536840315, 6.48776386584], [-24.8549506877, 5.72138540605], [-24.50566169, 5.10026582271], [-24.1940116333, 4.54781998919], [-23.9106126182, 4.07655249312], [-23.6985917606, 3.775316246], [-23.5552622231, 3.45206610907], [-23.1997844471, 2.81238828692], [-22.5618537536, 2.19625243518], [-21.7188637471, 1.53647810038], [-20.6708144276, 0.833065282536], [-19.4237615888, -0.0868637155219], [-18.3224152141, -0.921175284571], [-17.2784874824, -1.76884761371], [-16.3013942262, -2.51877958163], [-15.4238856538, -3.19326594643]]"
25876,1,Liverpool Football Club,-31.9251341139,10.6062598456,19.64737053253418,23.13323323955488,10.822752019999982,-16.39778056800001,-52.5,36.90244066518211,Blocked Shot,42,22,"[[-30.1819940922, 10.3946016595], [-29.0691470557, 8.58791577561], [-28.435774362, 8.03420149154], [-28.0706542164, 8.16006887642], [-27.9737866188, 8.96551793025], [-27.7379545615, 8.87436911415], [-27.5248601545, 8.82219715433], [-27.2127882883, 8.39817139738], [-26.9329162516, 8.12525603573], [-26.653044215, 7.85234067408], [-26.3731721783, 7.57942531243], [-26.0933001416, 7.30650995078], [-25.8134281049, 7.03359458913], [-25.5335560682, 6.76067922749], [-25.2536840315, 6.48776386584], [-24.8549506877, 5.72138540605], [-24.50566169, 5.10026582271], [-24.1940116333, 4.54781998919], [-23.9106126182, 4.07655249312], [-23.6985917606, 3.775316246], [-23.5552622231, 3.45206610907], [-23.1997844471, 2.81238828692], [-22.5618537536, 2.19625243518], [-21.7188637471, 1.53647810038], [-20.6708144276, 0.833065282536], [-19.4237615888, -0.0868637155219], [-18.3224152141, -0.921175284571], [-17.2784874824, -1.76884761371], [-16.3013942262, -2.51877958163], [-15.4238856538, -3.19326594643], [-14.6070951854, -3.84103697112]]"
40311,2,Manchester City,-50.4741419838,-29.0335333688,52.223746720411455,91.89455101548874,-41.06867088999998,32.25963410899997,-52.5,105.9039853852638,Blocked Shot,47,24,"[[-50.4184681915, -30.8851247126], [-52.0883821477, -29.537651949], [-52.8084283816, -28.9219847356], [-51.9597448858, -29.4989313005], [-51.5589423839, -29.7363171356], [-51.3035193007, -29.9725179189], [-51.2353835214, -30.2265914336], [-51.2219575059, -30.5569099815], [-51.3170135925, -30.936862229], [-51.5205517811, -31.3664481762], [-51.3815578762, -31.8587689075], [-51.4411838699, -32.2094276524], [-51.4971244502, -32.519115233], [-51.5437777626, -32.8047497458], [-51.690936058, -33.0243358767], [-51.8255462929, -33.2011313361], [-51.964910388, -33.2630235478], [-52.1242553156, -33.2289879167], [-52.3035810756, -33.0990244429]]"
40312,2,Manchester City,-50.3825616382,-29.4526606968,21.45762211838808,12.570910112230555,-16.699139562000056,13.47472763599999,-52.5,35.957706211251285,Blocked Shot,47,25,"[[-52.0883821477, -29.537651949], [-52.8084283816, -28.9219847356], [-51.9597448858, -29.4989313005], [-51.5589423839, -29.7363171356], [-51.3035193007, -29.9725179189], [-51.2353835214, -30.2265914336], [-51.2219575059, -30.5569099815], [-51.3170135925, -30.936862229], [-51.5205517811, -31.3664481762], [-51.3815578762, -31.8587689075], [-51.4411838699, -32.2094276524], [-51.4971244502, -32.519115233], [-51.5437777626, -32.8047497458], [-51.690936058, -33.0243358767], [-51.8255462929, -33.2011313361], [-51.964910388, -33.2630235478], [-52.1242553156, -33.2289879167], [-52.3035810756, -33.0990244429]]"
41671,2,Manchester City,-34.7980653806,-3.76014642654,14.062959966557791,26.18034187922107,-13.103089188999988,5.106456376599997,-52.5,77.19611336960804,Shot,49,40,"[[-36.0595348839, -3.05795630327], [-37.52962205, -2.52120548932], [-38.9440065925, -2.18603450534], [-40.5074763243, -1.51467553571], [-42.0282118758, -0.682719977851], [-43.6151255785, 0.464546503685], [-45.0914549167, 1.58935333886], [-46.3837091073, 2.3825017532], [-47.5319623329, 2.9753087036], [-48.5362145932, 3.36777419008], [-49.6444257979, 3.93756286755], [-50.6721609924, 4.38015200571], [-51.6517867022, 4.75501947948], [-52.6005245049, 5.0934344378], [-53.5092395508, 5.38016086442], [-54.3779318397, 5.61519875932]]"
42152,2,Manchester City,-46.3595462981,2.86508972304,19.32714250939172,19.906336694385153,-16.06762435600004,-10.741037432800002,-52.5,116.54204924134376,Blocked Shot,50,29,"[[-44.3708105656, 2.91587047151], [-45.9052642018, 1.78186795401], [-47.3642212228, 0.918099712249], [-48.7833707376, 0.188676796838], [-50.1627127461, -0.406400792225]]"
44591,2,Manchester City,-34.7711415972,-12.5210794267,22.72920417545825,51.190025038881636,22.328402127999993,4.249609494999991,-52.5,54.58607136070293,Blocked Shot,54,32,"[[-34.2574234864, -10.8050331583], [-32.0629690359, -10.5665879967], [-30.0346478013, -10.3035142338], [-28.0008959017, -10.1085328753], [-26.0198743629, -9.89920349226], [-23.947118083, -9.9165787913], [-21.8934521684, -10.0548739284], [-20.1850915461, -10.388802066], [-18.6761189894, -10.8846966856], [-17.3665344984, -11.5425577873], [-16.9533226859, -12.1003630598], [-16.7323509805, -12.7002370243], [-16.6747538809, -13.2872086511], [-16.6881237875, -13.921049721], [-16.6360443806, -14.5086028864], [-16.5892989826, -15.0465178346], [-16.5689544022, -15.4953290087], [-16.5727457991, -15.8687983896], [-16.5980089129, -16.1673210663], [-16.6447437438, -16.3908970388], [-16.6509415162, -16.6421186349], [-16.6218695373, -16.9695280247], [-16.5754286818, -17.4096941304], [-16.4984975296, -18.0630168747], [-16.4085515308, -18.9081456523], [-16.3258580102, -19.7676862765], [-16.1855255607, -20.795244254], [-16.0140279571, -21.8235763594], [-15.8024211874, -22.9173352634], [-15.5507052518, -24.0765209659], [-15.4247355118, -24.8214744049]]"
