frame,period,game_minute,game_second,shooter_id,shooter_team,player_x,player_y,ball_path
804,1,0,35,1152,Manchester City,-46.5206465948,4.38137935457,"[[-45.2716124838, 3.71640225473], [-44.1366981581, 2.58472030517], [-42.9249242369, 1.36393301593], [-41.8225172655, 0.198387585034], [-40.7585732797, -1.00426718437], [-39.7319805589, -2.23179380277], [-38.742739103, -3.48419227017], [-37.910962994, -4.43095800653], [-37.1154886921, -5.40207493603], [-36.4315847005, -6.20661145264], [-35.7648742182, -7.03316144159], [-35.1617149802, -7.7910501384], [-34.5897001399, -8.53028179311], [-34.0447570406, -9.22887585092], [-33.5479128691, -9.88097503057], [-33.0932123982, -10.4863381319]]"
922,1,0,47,4460,Manchester City,-20.6491512117,-18.7174829756,"[[-19.1761814287, -17.8680428726], [-18.3542401777, -16.3611856736], [-17.6211312508, -14.9372278849], [-16.9599917221, -13.567442325], [-16.3481510931, -12.3540909155], [-15.7695091768, -11.2733356464], [-15.2369772883, -10.2789141964], [-14.7469559001, -9.3929826205], [-14.2994450125, -8.61554091883], [-14.1082668903, -8.19315726441], [-13.8851690137, -7.92289195954], [-13.7125727235, -7.70066759053], [-13.4860701537, -7.59851136996], [-13.2714050423, -7.65941660657], [-12.9410360528, -7.86579870098], [-12.5664947023, -8.1391014518]]"
2880,1,4,3,9202,Manchester City,-14.8518392926,13.0945373717,"[[-13.1821487726, 12.506834423], [-10.6717779153, 11.8265880871], [-8.40984287268, 10.604463845], [-6.24096092683, 9.09499185922], [-4.26777951244, 7.17269139751], [-2.43967693967, 4.77834193298], [-0.6628733855, 3.52150643332], [1.0530347152, 3.61589922061], [2.73804929619, 3.51208602956], [4.38078565055, 3.75593621681], [5.9812437783, 4.34744978237], [7.57334744519, 3.19147283935], [9.14511990117, 2.86407660768], [10.6770122846, 2.57206089421], [12.1866093899, 2.31075401292], [13.661316991, 1.95749396982]]"
3640,1,5,19,3847,Liverpool Football Club,17.8154615675,19.2805435544,"[[17.2604780855, 17.6430615216], [15.9746145253, 18.1381855843], [14.6586955035, 18.536063151], [13.2962326815, 18.5111893404], [12.0396927936, 18.6533290276], [10.8224480375, 18.7083200207], [9.62297174283, 18.7545014546], [8.37054396698, 18.7024934186], [7.27768782362, 18.6720253561], [6.25845084361, 18.6303346724], [5.31283302695, 18.5774213675], [4.91356276367, 18.1639994425], [4.67271552134, 17.8210120868], [4.50446532526, 17.1840950891], [4.42552234752, 16.4142819228], [4.31365398353, 15.6576750855]]"
3795,1,5,34,5821,Manchester City,2.57081831069,22.7764334906,"[[3.7837178532, 23.811991463], [4.53229161678, 25.1182642103], [5.40691126188, 26.2915170335], [6.16004185212, 27.4238373366], [6.87801106137, 28.5347173736], [7.56081888963, 29.6241571447], [8.14771491348, 30.2565955947], [8.70487455028, 31.0700915687], [9.21648973166, 31.748686177], [9.75318301556, 32.297005301], [10.333716422, 32.4968494682], [10.945524697, 32.3901744196], [11.5824610008, 32.1432710113], [12.1744303104, 32.0080001784], [12.7490425038, 31.8695016951], [13.306297581, 31.7277755612]]"
4986,1,7,33,2934,Manchester City,-29.7764885312,3.59168356941,"[[-28.6877101982, 2.42090763439], [-27.9674097987, 1.00081046316], [-27.333736315, -0.294364035934], [-26.6932932503, -1.63469608268], [-26.0460806046, -3.02018567708], [-25.5693382154, -4.12784206366], [-25.0857096482, -5.22473611941], [-24.6243277629, -6.22661539094], [-24.2031849413, -7.14960756415], [-23.8391279354, -7.9955726377], [-23.5063100191, -8.75943047368], [-23.2117880059, -9.44343161656], [-22.9555618959, -10.0475760664]]"
7934,1,12,28,1152,Manchester City,-40.305922161,2.77384945707,"[[-40.0361105689, 1.48485429237], [-39.3928957641, 0.0228466360197], [-38.6712161455, -1.516064231], [-38.0384556178, -2.88016468719], [-37.4479429241, -4.1367612031], [-36.8906443933, -5.30152093776], [-36.3665600256, -6.37444389116], [-35.9061677695, -7.37787589468], [-35.4711075437, -8.30429887321], [-35.0812747853, -9.17387040363], [-34.7261543281, -9.98224502888], [-34.3991873261, -10.7438993821], [-34.1131363328, -11.5128289422], [-33.8329328979, -12.17059735], [-33.5021042324, -12.6755821762], [-33.1484893349, -13.0584369548]]"
10763,1,17,11,4460,Manchester City,-10.2944545292,8.12589951924,"[[-8.97610956552, 8.67441795793], [-7.41556047479, 8.38818465671], [-5.64658227989, 7.99829300769], [-4.0002606881, 7.59776225921], [-2.49176197345, 7.15070794008], [-1.08672211604, 6.75785088895], [0.219051545604, 6.38273466835], [1.42555901149, 6.02535927827], [2.61971611612, 5.65198887371], [3.71376904245, 5.22532588631], [4.74317348172, 4.78108037773], [5.68956580303, 4.28836978281], [6.57647826388, 3.87338128433], [7.40728513718, 3.44911512305], [8.18958899399, 3.13901096999], [8.90874992641, 2.76148435306]]"
11434,1,18,18,9202,Manchester City,-39.4495224726,-4.31828347842,"[[-40.2271391267, -4.30584155276], [-38.7726264228, -5.90731580646], [-37.2590879851, -7.56227047408], [-35.8491305207, -9.13248269738], [-34.6473795389, -10.4119425684], [-33.6043789228, -11.4827926624], [-32.7201286722, -12.3450329795], [-32.1553690222, -12.7588631518], [-31.7649402142, -12.8648890745], [-31.5566205979, -12.7141061706], [-31.3684675615, -12.4013154538], [-31.2846833275, -11.9277568985], [-31.4525238388, -11.4317467639], [-31.8096677744, -11.01401134], [-32.4299967058, -10.5527779853], [-33.3093360811, -10.0679283869]]"
12172,1,19,32,4460,Manchester City,-43.7571779887,-5.85460388093,"[[-42.4546295381, -7.07002951694], [-41.7275802496, -8.51157147192], [-41.0038881505, -9.83769198806], [-40.3284396364, -11.1032789332], [-39.616898348, -12.4024356595], [-38.9699781668, -13.6024917412], [-38.361134119, -14.7543511863], [-37.7929125247, -15.8451163833], [-37.2653133838, -16.8747873323], [-36.844269388, -17.7155012626], [-36.4115623912, -18.5415273184], [-35.9953961453, -19.3325255584], [-35.5804776026, -20.1268813723], [-35.2746285147, -20.8055101837], [-34.8869958707, -21.5968754987], [-34.547124594, -22.3001582184]]"
